Recipe,Ingredients,Directions
Recipe 919,"Water, Instant yeast, Whole wheat flour, Salt, Egg, room temperature, Whole wheat flour, Milk","
In small jug,add lukewarm water,brown sugar and mix well.
Add instant yeast and mix,cover and let it rest for 10 minutes.
In bowl,add whole wheat flour,brown sugar,salt and mix well.
Add olive oil,egg,yeast mixture and mix well for 8-10 minutes.
Gradually add whole wheat flour and knead well.
Add olive oil and knead until dough is smooth.
Cover and let it proof for 45 minutes or until double in size (warm place).
Grease hands with oil and knead dough again until smooth & fold according to pan size.
Grease 9 x 3 inch loaf pan with olive oil and place prepared dough and let it proof for 30 minutes or until double in size (warm place).
In milk,add olive oil,mix well and brush over the dough.
Bake in preheated oven at 180 C for 20-25 minutes (makes 1 bread loaf).
After baking,let it cool and cut into slices & serve!














"
Recipe 920,"Butter, Allpurpose flour, Milk, Salt, optional, Red chilli powder, Salt, Garlic powder, Allpurpose flour, Salt, Garlic powder, Potatoes, Tomato, Green onion, Onion, Green onion","
In saucepan,add butter and let it melt.
Add all-purpose flour and whisk well.
Add milk and whisk well.
Add cheddar cheese, burger cheese slices,salt,chicken powder,paprika powder,whisk well and cook until sauce is thick (approx. 2-3 minutes) & set aside.
In bowl,add boiled & shredded chicken,mayonnaise,tomato ketchup,onion powder,red chilli powder, salt,garlic powder,dried oregano,mix well & set aside.
In bowl,add all-purpose flour,paprika powder,salt,chaat masala,garlic powder,mix well & set aside.
In bowl,add iced cold water,potato fries and soak for 10 minutes then strain and pat dry potato fries with the help of the kitchen towel or paper.
Add potato fries in prepared spice mix and coat well.
In wok,heat cooking oil and fry on medium flame for 4-5 minutes,take out and rest it for 5 minutes and again fry potato fries until light golden & crispy and set aside.
On serving dish,place inverted glass,add prepared chicken filling and set around the glass,add potato fries then remove glass,add prepared cheese sauce,tomato,green onion leaves and onion.
Drizzle Mayo Mustard sauce and tomato ketchup,add chaat masala,green onion & serve!











"
Recipe 921,"Water, Caster sugar, Instant yeast, Allpurpose flour, Caster sugar, Salt, Egg, room temperature, Butter, melted, Allpurpose flour, Butter, Egg, Sesame seeds, Butter","
In small juga,add lukewarm water,caster sugar,instant yeast and mix,cover and let it rest for 10 minutes.
In bowl,add all-purpose flour,caster sugar,salt,dry milk powder and mix well.
Add egg,melted butter,yeast mixture and mix well for 8-10 minutes.
Gradually add all-purpose flour and mix until well combined.
Add remaining all-purpose flour and knead until dough is formed.
Add butter and knead dough again until smooth.
Cover & let it rest for 1 hour or until double in size (warm place).
Grease hands with butter and knead dough again,sprinkle dry flour and again make a dough.
Divide the dough into four equal parts then again divide into three parts (55g).
Take one part and make a ball (makes 12).
On greased baking tray,place buns,cover and let it rest for 1 hour or until double in size (warm place).
On the top of the buns,apply whisked egg and sprinkle sesame seed.
Bake in preheated oven at 180 C for 15-20 minutes.
After baking,brush butter & serve!














"
Recipe 922,"Mince, Black pepper, Salt, Garlic, 10 g, Onion, Fresh coriander, Egg, Milk, Garlic, Onion, Tomatoes, Black pepper, Salt, Sugar, Water, Fresh coriander","
In bowl,add beef mince,breadcrumbs,black pepper crushed,salt,garlic,all spices,chicken powder,onion, fresh coriander,egg,milk and mix until well combined.
Take a mixture (1 tbs) and make meat balls of equal sizes (makes 34-35) and refrigerate for 15 minutes.
In wok,add cooking oil and fry meat balls for 10-12 minutes (cover in between) & take out for later use.
In the same wok,add cooking oil,garlic and mix well.
Add onion and sauté until translucent.
Add grinded tomatoes,tomato paste,mix well and cook for 2-3 minutes.
Add Italian seasoning,dried oregano,black pepper crushed,salt,sugar and mix well,cover and cook on low flame for 4-5 minutes.
Add water,chicken cube and mix,add fresh coriander and mix well.
Now add fried meat balls,mix and cook for 6-8 minutes,cover and cook on low flame for 12-15 minutes then cook on high flame until oil separates & set aside.
In bowl,add mayonnaise,cream cheese,Italian seasoning,mix well & set aside.
On baking dish,add Italian bread slices,add & spread prepared mayo & cream cheese sauce,mozzarella cheese,meat balls with red sauce,mozzarella cheese,cheddar cheese and sprinkle Italian seasoning.
Bake in preheated oven at 170 C until cheese melts (12-15 minutes).














"
Recipe 923,"Water, Butter, Yogurt, Eggs, Salt, Caster sugar, Allpurpose flour, Butter, Milk","
In saucepan,add water and butter,let it melt and bring it to boil & mix well.
Let it cool.
In bowl,add yogurt,eggs,vanilla essence and whisk well.
Add salt,baking soda,caster sugar,all-purpose flour,melted butter mixture and whisk until well combined.
Grease baking dish/pan (8 x 12”) with cooking oil,pour prepared batter and spread evenly.
Bake in preheated oven at 175 C for 20 minutes or until a skewer inserted into the center of the cake comes out clean.
After baking,let it cool down at room temperature.
In saucepan,add butter and milk,let it melt and bring it to boil.
Remove from flame,add icing sugar and whisk well.
Add vanilla essence,whisk again & let it cool.
Now pour prepared frosting over cake.
Decorate with multi colored sprinkle.
Cut into desired pieces & serve!













"
Recipe 924,"Onion, Carrot, Ginger, Garlic, Cinnamon sticks, Cloves, Salt, Black pepper, Water, optional, Salt, Black pepper, Water, Brown eggs, Black pepper, Green onion","
In pressure cooker,add sweet corn,desi chicken,onion,carrot,ginger,garlic,cinnamon sticks,cloves,salt,black pepper crushed and water,mix well and bring it to boil,cover and pressure cook for 45-50 minutes or until tender.
Take out sweet corn,in chopper,add boiled corns,chop coarsely & set aside.
In pot,add strain chicken stock and take out chicken pieces then shred & set aside.
In prepared chicken stock,bring it to boil and add chop corn kernels,shredded chicken and mix well.
Add chicken powder,salt,black pepper crushed,mix well and cook on low flame for 4-5 minutes.
Add soy sauce and mix well.
In water,add corn flour and whisk well.
Add dissolve cornflour,mix gently and cook until soup is thick.
In bowl,add brown eggs and whisk well.
Gradually add whisked eggs and mix gently.
Garnish with shredded chicken,black pepper crushed,corn kernels,green onion leaves,soy sauce & serve!













"
Recipe 925,"Butter, Garlic, Onion, Allpurpose flour, Red chilli, Black pepper powder, Salt, Milk, Capsicum, Onion, Butter","
In frying pan,heat cooking oil and fry nuggets on medium low flame until golden brown (approx. 3-4 minutes).
In wok,add butter and let it melt.
Add garlic,onion and mix.
Add all-purpose flour and mix well for a minute.
Add all spices,red chilli crushed,black pepper powder,salt,Italian seasoning and mix well.
Add milk,whisk well and cook until sauce is thick.
Add capsicum,onion and mushrooms,mix well & set aside.
Cut nuggets into two pieces & set aside.
Cut sliders from the center & set aside.
In baking dish,place sliders,cheddar cheese slices,cooked vegetable sauce,nuggets,mozzarella cheese slices and place top sliders buns (makes 9-10 sliders).
Apply melted butter and bake in preheated oven at 170 C for 10 minutes & serve!











"
Recipe 926,"Whole wheat flour, Turmeric powder, Red chilli powder, Asafoetida, Salt, Water, Split pigeon pea, soaked for 2 hours, Water, Red chilli powder, Turmeric powder, Ginger, Garlic, Salt, Jaggery, Asafeotida, Cumin seeds, Mustard seeds, Red chillies, Curry leaves, Tomatoes, Water, Fresh coriander, Water, Red chilli, Fresh coriander","
In bowl,add whole wheat flour,turmeric powder,red chilli powder,asafoetida powder,salt,ghee and mix well.
Gradually add water and knead until dough is formed,cover and let it rest for 10-15 minutes.
Grease hand with ghee and knead dough again.
Take a small dough,sprinkle dry flour and roll out with the help of rolling pin.
Cut into pieces with the help of the cutter and sprinkle fry flour then take out on a plate and sprinkle fry flour & set aside.
In pot,add split pigeon pea,water,red chilli powder,turmeric powder,ginger and garlic,mix well and bring it to boil,cover & cook on low flame until tender (approx. 1 hour).
Add salt,jaggery,mix well and cook for 2-3 minutes & set aside.
In frying pan,add ghee and let it melt.
Add asafeotida powder,cumin seeds,mustard seeds,red chillies,curry leaves and mix.
Add tomatoes,mix well and cook for 2-3 minutes.
Add it in pot and mix well.
Add water,mix well and bring it to boil,add fresh coriander and mix well.
Add prepared dough pieces and mix gently.
Add water,cover and cook on low flame for 15-20 minutes.
Garnish with red chilli,fresh coriander,lemon juice,peanuts & serve!















"
Recipe 927,"Cabbage, Salt, Mince, Onion, Black pepper powder, Red chilli, Salt, Fresh coriander","
Spread cabbage leaves & set aside.
In boiling water,add salt and mix well.
Add cabbage leaves,cover & boil for 5 minutes then take out & set aside.
In bowl,add chicken mince,onion,black pepper powder,red chilli crushed,salt,garam masala powder, olive oil and mix well.
Add fresh coriander and mix well.
On boiled cabbage leaves,add chicken mince,fold the sides together and roll up.
On boiling water,place steam rack and grease with olive oil,place cabbage wraps,cover & steam cook for 9-10 minutes.
In frying pan,add olive oil and fry cabbage wraps from both sides until golden brown.
Serve with chilli sauce!









"
Recipe 928,"Edible gum, Lotus seeds, Cashew nuts, Almonds, Walnuts, Melon seeds, Pistachios, Raisins, Desiccated coconut, Whole wheat flour, Cardamom powder, Nutmeg powder, Jaggery, Water","
In wok,add desi ghee and let it melt.
Add edible gum and fry on low flame until it puffs up and keep stirring in between & take out in a bowl.
Add desi ghee and let it melt,add lotus seeds and fry for 2-3 minutes and take out then crushed coarsely & set aside.
In wok,add desi ghee and let it melt,add cashew nuts,almonds,walnuts,melon seeds and mix well.
Add pistachios and fry for 1-2 minutes & take out in a bowl.
Add desi ghee and let it melt,add raisins and fry for a minute & take out in a bowl.
In the same wok,add desiccated coconut and fry for 1-2 minutes & take out in a bowl.
In wok,add desi ghee and let it melt,add whole wheat flour and cook for 2-3 minutes & mix continuously.
Gradually add desi ghee and cook until its changes color (light brown) & mix continuously.
Add cardamom powder,nutmeg powder and mix well & take out in a bowl then mix well.
In wok,add jaggery,water and cook until it melts,mix continuously and let it cool.
Add melted jaggery and mix until well combined.
Take a mixture (50g) and makes laddu of equal sizes (makes 31-32).
Can be stored in an airtight jar for up to 6 months.
















"
Recipe 929,"Onion, Garlic, Orange lentil gram, washed, Potato, Tomato, Carrot, Salt, Butter, Red chilli powder, Black pepper","
In pot,add cooking oil,onion,garlic,mix well and sauté until translucent.
Add orange lentil gram,mix well and cook for 1 minute.
Add potato,tomato,carrot,salt,mix well and cook for 2-3 minutes.
Add hot water,mix well and bring it to boil,cover and cook on low flame for 20-25 minutes then blend well with the help of hand blender.
Take out 1/4 Cup lentil soup for later use.
In frying pan,add cooking oil,butter and let it melt.
Add tomato paste,mix well and cook for 2 minutes.
Add red chilli powder,paprika powder,black pepper crushed and mix well.
Gradually add reserved lentil soup and mix well.
In lentil soup,add prepared tomato paste mixture,mix well and bring it to boil,add dried mint and mix well.
Garnish with dried mint & serve hot!













"
Recipe 930,"Onion, Garlic, Water, Green chillies, Mint leaves, Fresh coriander, Yogurt, Water, Water, Salt, Vinegar, Fenugreek seeds, Mustard seeds, Curry leaves, Button red chillies, Cumin powder, Turmeric powder, Coriander powder, Salt, Water, Water, Fresh coriander, Green chilli","
In grinder,add onion,garlic,water and grind well & set aside.
In chopper,add green chillies,mint leaves,fresh coriander,yogurt,water,chop well & set aside.
In bowl,add fish,water,salt,vinegar,mix and let it soak for 15 minutes then strain & set aside.
In wok,add cooking oil,fenugreek seeds,mustard seeds and mix.
Add curry leaves,button red chillies and mix well.
Now add grinded onion & garlic mixture and mix well,cover and cook on low flame for 6-8 minutes then cook on high flame until oil separates.
Add cumin powder,turmeric powder,coriander powder,salt,mix well and cook for 2-3 minutes.
Add yogurt & greens mixture and mix well.
In bowl,add coconut milk powder,water and whisk well.
Add prepared coconut milk,mix well and cook for 2-3 minutes.
Add fish and mix gently.
Add water,cover and cook on low flame for 18-20 minutes.
Garnish with fresh coriander,green chilli & serve!













"
Recipe 931,"Butter, Milk, Sugar, Salt, Sugar, Water, Butter, Salt, Milk","
In chopper,add biscuits and chop until crumbled.
During chopping,add melted butter and chop until well combined.
On serving dish,add crumbled mixture and press firmly down into the base to create an even layer and chill in the refrigerator for 15 minutes to set firmly.
In saucepan,add milk,sugar,cocoa powder,corn flour,salt,vanilla essence,whisk well and cook on low flame until custard is thick (approx. 5-6 minutes) and whisk continuously.
Add dark chocolate,whisk well & cook until chocolate melts & let it cool.
In saucepan,add sugar and water,mix well and bring it to boil and cook on very low flame for 12-15 minutes or until caramelized (don’t stir).
Turn off the flame,add cream and whisk well.
Add butter then turn on the flame,add salt,vanilla essence,whisk well & cook for 1 minute & set aside.
In bowl,add whipping cream and beat until stiff peaks form & set aside.
In separate bowl,add cream cheese and beat well.
Add milk and beat again.
Now add whipped cream and fold gently with the help of the spatula.
Spread evenly half quantity of cheesecake layer over the crumbled biscuit mixture and freeze for 20-25 minutes.
Add & spread prepared chocolate custard and freeze for 20-25 minutes.
Add & spread remaining cheesecake mixture and refrigerate for 2-3 hours.
Garnish with chocolate syrup & prepared caramel syrup,chocolate shavings & serve!
















"
Recipe 932,"Honey, Garlic powder, Green onion, Salt, Black pepper, Fresh coriander, Fresh coriander","
In wok,heat cooking oil and fry on medium low flame until golden (approx. 3-4 minutes).
In bowl,add mayonnaise,chilli garlic sauce,sriracha sauce,honey,garlic powder,paprika powder & mix well.
In bowl,add prepared dynamite sauce,fried shrimps and coat well.
Garnish with green onion leaves & serve!
In wok,heat cooking oil and fry on medium low flame until golden (approx. 3-4 minutes).
In bowl,add lemon juice,hot sauce,tabasco sauce,Worcestershire sauce,tomato ketchup,mustard paste, jalapenos,salt,black pepper crushed,fresh coriander & mix well.
In bowl,add half quantity of prepared of cocktail sauce,fried shrimps and coat well.
In serving glass,add prepared cocktail sauce,carrots,fresh coriander,fried shrimps and garnish with fresh coriander & serve!








"
Recipe 933,"Cumin seeds, Nutmeg, Mace, Black peppercorns, Cloves, Cinnamon stick, Coriander seeds, Carom seeds, Dried fenugreek leaves, Ginger, Garlic, Green chilli, Turmeric powder, Salt, Red chilli powder, Yogurt, Mustard oil, Gram flour, Charcoal, Fresh coriander","
In spice mixer,add cumin seeds,nutmeg,mace,black peppercorns,cloves,cinnamon stick,coriander seeds,carom seeds,dried fenugreek leaves and blend to make a powder.
Add ginger,garlic,green chilli,lemon juice and blend well & set aside.
Add cuts on whole fish,add turmeric powder,salt,red chilli powder,2 tbs of blended paste,rub evenly on both sides and marinate for 30 minutes in refrigerator.
In bowl,add yogurt,remaining blended mixture,mustard oil,tandoori masala,gram flour and whisk well.
In marinated fish,add spiced yogurt and rub evenly on both sides.
Grill on burning charcoal or grill pan for 8-10 minutes each side and basting with cooking oil.
Garnish with lemon slices,fresh coriander & serve!







"
Recipe 934,"Carrot, Onion, Ginger, Garlic, Fresh coriander, Water, Sesame oil, Garlic, Ginger, white, Spring onion, Carrot, Vinegar, Black pepper powder, Salt, Sugar, Cabbage, Eggs, Water, Green chilli, Fresh coriander","
In pot,add chicken,carrot,onion,ginger,garlic,fresh coriander,water and bring it to boil,cover and cook on low flame for 1 hour then take out chicken pieces,shred it & set aside for later use.Chicken stock is ready!
Can be stored in freezer for up to 1 month.
In pot,add sesame oil,garlic,ginger and mix well.
Add mushrooms,spring onion,mix well and cook for a minute.
Add prepared chicken stock,carrot,shredded chicken,soy sauce,hot sauce,vinegar,black pepper powder, salt,sugar,tomato ketchup,cabbage,mix well and bring it to boil,cover and cook on low flame for 5-8 minutes.
In bowl,add eggs and whisk well.
Add it in pot and mix.
In water,add corn flour and whisk well.
Now add dissolve corn flour,mix well and cook until desired consistency (2-3 minutes).
Garnish with green chilli,fresh coriander & serve hot!










"
Recipe 935,"Green chilli, Ginger, Garlic, Cumin seeds, Turmeric powder, Red chilli powder, Coriander seeds, Black pepper powder, Turmeric powder, Salt, Mint leaves, Fresh coriander, fish of your choice, Allpurpose flour, Egg, Eggs, Green chilli, Garlic, Ginger, Cumin seeds, Salt, Mint leaves, Fresh coriander, Water","
In spice mixer,add green chillies,ginger,garlic,cumin seeds,red chili powder,coriander seeds,garam masala powder,black pepper powder,turmeric powder,salt,lemon juice,mint leaves,fresh coriander and blend to make a paste & set aside.
Hammer fish fillets with the help of kitchen hammer.
In bowl,add king fish,blended masala paste and rub evenly on both sides,cover and marinate for 30 minutes.
Add all-purpose flour and egg,mix well & set aside.
In bowl,add breadcrumbs & set aside.
In bowl,add eggs and whisk well.
Now coat marinated fish fillets into breadcrumbs then dip into beaten eggs and again coat in breadcrumbs and shape into square shape.
Can be stored in freezer for up to 2 weeks.
In wok,heat cooking oil and fry on medium flame until golden brown.
In spice mixer,add green chilli,garlic,ginger,cumin seeds,salt,mint leaves,fresh coriander,lemon juice,water and blend well.










"
Recipe 936,"Red chilli powder, Cumin seeds, Mace powder, Salt, Ginger garlic, Almonds, Mint leaves, Green chillies, Onion, Onion, Capsicum, Cumin seeds, Garlic, Green chilli, Fresh coriander  Mint leaves, Salt, Yogurt","
In bowl,add chicken boneless cubes,red chilli powder,all spices,cumin seeds,mace powder,salt,ginger garlic and mix well,cover and marinate for 20 minutes.
In spice mixer,add almonds and blend to make a powder & set aside.
In chopper,add mint leaves,green chillies,fried onion and chop well.
Now add marinated chicken,cheddar cheese,almond powder and chop until well combined & refrigerate for 10 minutes.
On tray,add onion,capsicum,red bell pepper and mix well.
Grease hands with oil,take a mixture and make kababs of equal sizes on skewers then coat in mixed vegetables (makes 10-12).
In frying pan,add rafhan corn oil and fry kababs from all sides until done.
In blender,add cumin seeds,garlic,green chilli,fresh coriander & mint leaves,salt,yogurt and blend well.








"
Recipe 937,"Allpurpose flour, Salt, Cumin seeds, Carom seeds, Red chilli, Water, Yogurt, Ginger garlic paste, Red chilli powder, Salt, Cumin powder, Yellow food color, Yogurt, Salt, Red chilli powder, Capsicum, Onion, Tomato, Red chilli","
In bowl,add all-purpose flour,salt,cumin seeds,carom seeds,red chilli crushed,cooking oil and mix well.
Gradually add water and knead until hard dough is formed,cover and let it rest for 10-15 minutes.
Grease hands with oil and knead dough again until smooth.
Take a small dough,sprinkle dry flour and roll out with the help of rolling pin & prick with fork then cut with round cutter.
In wok,heat cooking oil and fry on medium low flame until golden brown.
In bowl,add yogurt,ginger garlic paste,red chilli powder,salt,cumin powder,yellow food color,dried oregano,lemon juice and whisk well.
Add chicken fillets,mix well and marinate for 30 minutes.
In frying pan,add cooking oil and fry marinated chicken fillets from both sides until done and cover in between (approx. 4-5 minutes each side) then shred it with the help of the fork & set aside.
In bowl,add yogurt,mayonnaise,BBQ sauce,salt,red chilli powder,lemon juice and whisk well until smooth & refrigerate until use.
On papri,add & spread pizza sauce,cooked chicken,capsicum,onion,tomato,cheddar cheese, mozzarella cheese,red chilli crushed,dried oregano,cover & cook on low flame until cheese melts (2-3 minutes).
Drizzle prepared yogurt mayo sauce,nimco sev and black olive & serve!











"
Recipe 938,"Onion, Carrot, Garlic, Water, room temperature, Milk, Butter, Garlic, Onion, Carrot, Peas, Wheat flour, Water, Salt, Black pepper","
In pot,add chicken fillets,chicken boneless cubes,onion,carrot,garlic,water and bring it to boil,cover and cook on low flame for 15-20 minutes.Stock is ready!
Can be stored in freezer for up to 1 month.
Take out chicken fillets,let it cool then chicken fillets into cubes & set aside for later use.
Blend the whole mixture with hand blender & set aside.
In bowl,add cream,milk,whisk well & set aside.
In pot,add butter and let it melt.
Add garlic and onion,mix well and sauté until translucent.
Add carrots,peas and mix well.
Add wheat flour and mix well for 2-3 minutes.
Add water,whisk well and cook until thickens.
Now add prepared stock,salt,black pepper crushed,dried parsley,fresh basil leaves and mix well.
Add chicken boneless cubes,mix and bring it to boil and cook on low flame for 6-8 minutes.
Turn off the flame,add prepared cream mixture and whisk well,turn on the flame and cook on low flame for 4-5 minutes.
Garnish with croutons,fresh basil leaves & serve hot!














"
Recipe 939,"Turmeric powder, Salt, Charcoal, Tomatoes, Ginger, Garlic, Onion, Green chilli, Yogurt, Turmeric powder, Cumin powder, Red chilli powder, Coriander powder, Mustard oil, Cumin seeds, Black peppercorns, Black cardamom, Cloves, Cinnamon stick, Water, Salt, Dried fenugreek leaves, Fresh coriander","
In bowl,add fish pieces,turmeric powder,salt,tandoori masala and rub evenly.
Give a charcoal smoke for 2-3 minutes.
Cover & marinate for 30 minutes in refrigerator.
In chopper,add tomatoes,chop well & set aside.
In chopper,add ginger,garlic,onion,green chilli,chop well & set aside.
In bowl,add yogurt,tandoori masala,turmeric powder,cumin powder,red chilli powder,garam masla powder,coriander powder,whisk well & set aside.
In pot,add mustard oil and heat it until it comes to smoke point and fry fish pieces from both sides until done (approx. 2-3 minutes) & set aside.
In the same pot,add cooking oil,cumin seeds,black peppercorns,black cardamom,cloves,cinnamon stick and mix well.
Now add grinded onion mixture,mix well and cook for 4-5 minutes.
Add spiced yogurt,mix well and cook for 2-3 minutes.
Add prepared tomato puree and mix well,cover and cook on low flame for 2-3 minutes then cook on high flame until oil separates.
Add hot water,salt and mix well.
Add dried fenugreek leaves and mix.
Now add fried fish pieces,cover and simmer on low flame for 1-2 minutes.
Garnish with fresh coriander & serve!















"
Recipe 940,"Allpurpose flour, Salt, Carom seeds, Cumin seeds, Water, Ginger, Garlic paste, Split bengal gram, soaked for 1 hour, Red chilli powder, Turmeric powder, Coriander powder, Salt, Water, Water, Fresh coriander, Asafeotida, Cumin seeds, Tamarind pulp, Onion, Fresh coriander","
In bowl,add all-purpose flour,salt,carom seeds,cumin seeds,ghee and mix well.
Gradually add water and knead until hard dough is formed,cover and let it rest for 15-20 minutes.
Grease hands with oil and knead dough again until smooth.
Take a small dough (70 g),sprinkle dry flour and roll out with the help of rolling pin & prick with fork (makes 5-6).
In wok,heat cooking oil and fry on medium low flame until golden brown.
In saucepan,add cooking oil,ginger and mix.
Add garlic paste and mix well.
Add split Bengal gram and mix well.
Add red chilli powder,turmeric powder,coriander powder,garam masala powder,salt,mix well and cook for 1-2 minutes.
Add water,mix well and bring it to boil,cover and cook on medium flame for 30-35 minutes or until tender then mash slightly.
Add water,mix well and cook on low flame for 2-3 minutes.
Add fresh coriander,mix well & set aside.
In small frying pan,add cooking oil,asefeotida powder,cumin seeds,dried red chillies,mix well and cook for 30 seconds.
Take out cooked daal in a serving dish,add tamarind pulp,chaat masala,pour tadka,add onion,fresh coriander & serve!











"
Recipe 941,"Mace, Green cardamom, Nutmeg, Black peppercorns, Almonds, Poppy seeds, Cloves, Onion, Garlic, Green chillies, Mint leaves, Cloves, Green cardamom, Black cardamom, Cinnamon stick, Bay leaves, Cumin seeds, Yogurt, White pepper powder, Salt, Coriander powder, Mint leaves, Fresh coriander, Onion, Rice","
In frying pan,add mace,green cardamom,nutmeg,black peppercorns,almonds,poppy seeds,cloves and dry roast until fragrant.
Let it cool.
In spice mixer,add roasted spices and blend to make a powder & set aside.
In frying pan,add cooking oil,onion and mix well.
Add garlic and mix.
Add green chillies and fry until onions are translucent.
Let it cool.
In chopper,add onion & green chillies mixture,mint leaves and chop well & set aside.
In frying pan,heat cooking oil and fry chicken chapli kabab on medium flame from both sides until golden brown & set aside.
In pot,add cooking oil,cloves,green cardamom,black cardamom,cinnamon stick,bay leaves,cumin seeds and mix.
Add chopped onion+green chilli mixture,mix well and cook for 4-5 minutes.
Add yogurt and mix well.
Add white pepper powder,salt,coriander powder and mix well.
Add ground spices,lemon juice,mix well and cook for 2-3 minutes.
Add cream,khoya and mix well.
Take out half quantity of gravy for layering & set aside.
Add mint leaves,fresh coriander,fried onion,chicken chapli kabab,half quantity of boiled rice,reserved gravy,chicken chapli kabab,mint leaves,fresh coriander,fried onion,remaining boiled rice,cover and simmer on low flame for 4-5 minutes & serve!
 


















"
Recipe 942,"Walnuts, Almonds, Pistachios, optional, Milk, Sugar, Desiccated coconut, Milk, Edible silver leaf","
In wok,add ghee and let it melt.
Add walnuts,almonds,pistachios and fry for 1-2 minutes.
Turn off the flame,add cream and mix well.
Add milk then turn on the flame,mix well and bring it to boil.
Add dry milk powder,mix well and cook on low flame for 2-3 minutes & mix continuously.
Add sugar,mix well and cook until sugar is dissolved.
Add desiccated coconut,mix well and cook on low flame for 2-3 minutes.
In milk,add custard powder and whisk well.
Now add dissolve custard,mix continuously and cook on low flame until it leaves the sides of the pot (approx. 4-5 minutes).
In mold (4 x 4inch),add prepared mixture (300 g) and spread evenly.
Decorate with almond and edible silver leaf and cut into pieces.
Let it set for 1-2 hours & serve!












"
Recipe 943,"Whole black lentil gram, Water, Water, Turmeric powder, Salt, Garlic, Milk, Red chilli powder, Onion, Garlic, Cumin seeds, Green chillies, Curry leaves","
In bowl,add whole black lentil gram and water,mix and soak for 15 minutes then strain.
In pot,add soaked whole black lentil gram,water,turmeric powder,salt,garlic and mix well,bring it to boil,cover partially and cook on low flame for 20-25 minutes or until tender.
Add milk,red chilli powder,garam masala powder,mix well and cook for 4-5 minutes.
In small frying pan,add cooking oil,onion and fry until translucent.
Add garlic and mix.
Add cumin seeds,green chillies,mix and cook 30 seconds.
Add curry leaves and mix.
Now pour tadka in daal and mix.
Squeeze lemon juice & serve!
 










"
Recipe 944,"Bottle gourd, Water, Cashew nuts, Almonds, Raisins, Cloves, Cardamom powder, Milk, Sugar, Edible silver leaf","
Cut bottle gourd into 4 pieces & deseed them then cut 2 pieces into small cubes & set aside for later use.
Deseed remaining bottle gourd and grate with the help of the grater & set aside.
In saucepan,add bottle gourd cubes,water and boil for 10-15 minutes or until soft then blend with the help of the blender & set aside.
In pot,add ghee and let it melt.
Add cashew nuts,almonds and fry for 30 seconds.
Add raisins and fry for 1 minute & set aside for later use.
In pot,add cloves,garted bottle gourd,mix well and cook for 10-12 minutes & keep mixing in between.
Now add blended bottle gourd,cardamom powder and mix well.
Add milk,mix well and bring it boil and cook for 4-5 minutes.
Add sugar,mix well and cook until on low flame for 10-15 minutes and keep mixing in between.
Now add fried nuts and mix well.
Turn off the flame,add khoya and mix.
Garnish with edible silver leaf,almond & serve chilled!













"
Recipe 945,"Allpurpose flour, Salt, Water, Sugar, Water, Green cardamom","
In bowl,add all-purpose flour,salt and mix.
Add ghee and mix until crumbled.
Gradually add water and knead until dough is formed,cover & let it rest for 15 minutes.
Knead dough again until smooth and divide into two equal parts.
Take one part and make a ball,sprinkle dry flour and roll out with the help of rolling pin.
Cut rolled dough into desired shape with knife.
In wok,heat cooking oil and fry on medium flame until golden brown.
In saucepan,add sugar,water and green cardamom,mix well and cook until sugar is dissolved and syrup comes to a 1 thread consistency.
Now add fried shakarparay and coat them well with the syrup.
Let it cool.
Can be stored in airtight jar for up to 1 week.











"
Recipe 946,"Vinegar, Garlic powder, Black pepper powder, Salt, Allpurpose flour, Eggs, Water, Panko, Garlic powder, Water, Garlic, Ginger, Red chilli, Honey, Red chilli, Green onion","
In bowl,add vinegar,paprika powder,garlic powder,black pepper powder,mixed herbs,salt and mix well.
Add chicken,mix well and marinate for 30 minutes.
In bowl,add all-purpose flour.
In separate bowl,add eggs,water and whisk well.
In bowl,add breadcrumbs,garlic powder,paprika powder,chicken powder and mix well.
Now coat chicken strips into all-purpose flour then dip into beaten eggs and coat in breadcrumbs.
Can be stored in freezer for up to 2 weeks.
In wok,heat cooking oil and fry on medium flame until golden brown.
In wok,add water,garlic,ginger,red chilli crushed,soy sauce,mix well and cook for a minute.
Add honey,mix well and let it simmer on low flame for 5-6 minutes & set aside.
In prepared sauce,add fried chicken and coat well.
Garnish with red chilli crushed,green onion leaves & serve!
 
 














"
